Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,7.2,PG-13,"Drama, Horror, Mystery",March,"$15,000,000","$110,216,998",No,104,,English,USA,,,,
28 Days Later,Danny Boyle,2003,10,3,7.6,R,"Drama, Horror, Sci-Fi",June,"$8,000,000","$85,720,385",No,113,,English,UK,,,,
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,7,R,"Drama, Horror, Sci-Fi",May,"$15,000,000","$64,238,440",No,100,,English,UK,,,,
30 Days of Night,David Slade,2007,9,2.5,6.6,R,"Action, Horror, Thriller",October,"$30,000,000","$75,505,977",No,113,,English,USA,,,,
31,Rob Zombie,2016,8,2.5,5.1,R,"Horror, Thriller",September,"$1,500,000","$850,419",No,102,,English,USA,,,,
47 Meters Down,Johannes Roberts,2017,11,3,5.6,PG-13,"Adventure, Drama, Horror",June,"$5,300,000","$62,187,529",Yes,89,,English,USA,,,,
1408,Mikael Håfström,2007,8,3,6.8,PG-13,"Fantasy, Horror, Mystery",June,"$25,000,000","$132,033,383",No,114,,English,USA,,,,
1922,Zak Hilditch,2017,2,1,6.3,TV-MA,"Crime, Drama, Horror",October,,,Yes,102,,English,USA,,,,
A Cure for Wellness,Gore Verbinski,2016,6,1.5,6.4,R,"Drama, Fantasy, Horror",February,"$40,000,000","$26,620,002",No,146,,English,USA,,,,
A Ghost Story,David Lowery,2017,3,1,6.8,R,"Drama, Fantasy, Romance",July,"$100,000","$1,951,683",No,92,,English,USA,,,,
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0,7,NR,"Drama, Horror",April,"$491,910","$546,352",No,101,,Persian,USA,,,,
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,7.5,R,Horror,November,"$1,800,000","$25,504,513",No,101,,English,USA,,,,
A Nightmare on Elm Street,Samuel Bayer,2010,15,3,5.2,R,"Crime, Drama, Horror",April,"$35,000,000","$115,664,037",No,95,,English,USA,,,,
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985,8,2,5.5,R,Horror,November,"$3,000,000","$29,999,213",No,87,,English,USA,,,,
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,6.6,R,"Fantasy, Horror",February,"$4,500,000","$44,793,222",No,88,,English,USA,,,,
A Quiet Place,John Krasinski,2018,14,4,7.5,PG-13,"Drama, Horror, Sci-Fi",April,"$17,000,000","$340,939,361",No,90,,English,USA,,,,
A Tale of Two Sisters,Jee-woon Kim,2003,14,3,7.2,R,"Drama, Horror, Thriller",June,"$3,700,000","$1,045,252",No,115,,Korean,South Korea,,,,
Absentia,Mike Flanagan,2011,8,2,5.8,R,"Drama, Horror, Mystery",April,"$70,000","$8,555",No,87,,English,USA,,,,
Alien,Ridley Scott,1979,11,2.5,8.4,R,"Horror, Sci-Fi",June,"$11,000,000","$106,497,869",No,116,,English,USA,,,,
Alien: Covenant,Ridley Scott,2017,6,2,6.4,R,"Horror, Sci-Fi, Thriller",May,"$97,000,000","$240,891,763",No,122,,,,,,,
Alien 3,David Fincher,1992,12,2.5,6.5,R,"Action, Horror, Sci-Fi",May,"$50,000,000","$159,814,498",No,145,,,,,,,
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,6.2,R,"Action, Horror, Sci-Fi",November,"$75,000,000","$161,376,068",No,116,,,,,,,
Aliens,James Cameron,1986,13,3,8.4,R,"Action, Adventure, Sci-Fi",July,"$18,500,000","$131,335,326",No,154,,,,,,,
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,6.8,NR,"Drama, Horror, Thriller",March,,"$9,559,978",No,105,,Thai,Thailand,,,,
Altered States,Ken Russell,1980,2,0.5,6.9,R,"Horror, Sci-Fi, Thriller",December,"$14,900,000","$19,853,892",No,102,,,,,,,
Amityville: The Awakening,Franck Khalfoun,2017,11,3,4.8,PG-13,"Horror, Thriller",October,,"$7,701,908",No,85,,,,,,,
Amnesiac,Michael Polish,2015,1,0.5,4.3,TV-MA,"Drama, Horror, Mystery",November,"$3,000,000","$61,192",No,90,,,,,,,
An American Werewolf in London,James Landis,1981,14,3,7.5,R,"Comedy, Horror",August,"$10,000,000","$30,565,292",No,97,,,,,,,
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,5.1,R,"Comedy, Fantasy, Horror",December,"$25,000,000","$26,570,463",No,105,,,,,,,
Anaconda,Luis Llosa,1997,9,2,4.8,PG-13,"Action, Adventure, Horror",April,"$45,000,000","$136,885,767",No,89,,,,,,,
Anna,Jorge Dorado,2013,5,1,6.5,R,"Drama, Mystery, Sci-Fi",January,"$7,000,000","$1,257,142",No,99,,,,,,,
Annabelle,John R. Leonetti,2014,11,3.5,5.4,R,"Horror, Mystery, Thriller",October,"$6,500,000","$257,047,661",No,99,,,,,,,
Annabelle Comes Home,Gary Dauberman,2019,20,4,6,R,"Horror, Mystery, Thriller",June,"$27,000,000","$228,552,591",No,106,,,,,,,
Annabelle: Creation,David F. Sandberg,2017,23,4.5,6.5,R,"Horror, Mystery, Thriller",August,"$15,000,000","$306,515,884",No,109,,,,,,,
Annihilation,Alex Garland,2018,4,1.5,6.9,R,"Adventure, Drama, Horror",February,"$40,000,000","$43,070,915",Yes,115,,,,,,,
Apollo 18,Gonzalo López-Gallego,2011,10,3,5.2,PG-13,"Horror, Mystery, Sci-Fi",September,"$5,000,000","$25,562,924",No,86,,,,,,,
Apostle,Gareth Evans,2018,5,1.5,6.3,TV-MA,"Drama, Fantasy, Horror",October,,,Yes,130,,,,,,,
Army of Darkness,Sam Raimi,1992,9,2,7.5,R,"Comedy, Horror",February,"$11,000,000","$11,502,976",No,81,,,,,,,
Arrival,Denis Villeneuve,2016,3,0.5,7.9,PG-13,"Drama, Mystery, Sci-Fi",November,"$47,000,000","$203,388,186",No,116,,,,,,,
"As Above, So Below",John Erick Dowdle,2014,7,3,6.2,R,"Horror, Mystery, Thriller",August,"$5,000,000","$41,898,409",Yes,93,,,,,,,
Attack the Block,Joe Cornish,2011,12,3,6.6,R,"Action, Comedy, Sci-Fi",May,"$13,000,000","$5,824,175",No,88,,,,,,,
Audition,Takashi Miike,1999,1,0.5,7.2,R,"Drama, Horror, Mystery",March,,"$359,853",No,115,,,,,,,
Backcountry,Adam MacDonald,2014,4,0.5,6,R,"Drama, Horror, Thriller",March,"$1,200,000","$13,848",Yes,92,,English,Canada,,,,u
Backtrack,Michael Petroni,2015,14,3.5,5.9,R,"Drama, Fantasy, Mystery",January,,"$905,669",No,90,,,,,,,
Banshee Chapter,Blair Erickson,2013,22,5,5.5,R,"Horror, Sci-Fi, Thriller",December,"$950,000",,No,87,,,,,,,
Before I Wake,Mike Flanagan,2016,9,3,6.2,PG-13,"Drama, Fantasy, Horror",January,,"$3,965,086",Yes,97,,,,,,,
Berberian Sound Studio,Peter Strickland,2012,0,0,6.2,NR,"Drama, Horror, Thriller",August,,"$312,757",No,92,,,,,,,
Berlin Syndrome,Cate Shortland,2017,1,0.5,6.3,R,"Drama, Horror, Mystery",May,,"$397,783",No,116,,,,,,,
Better Watch Out,Chris Peckover,2016,11,2.5,6.5,R,"Comedy, Crime, Horror",October,,"$176,288",No,89,,,,,,,
Bird Box,Susanne Bier,2018,4,0.5,6.6,R,"Drama, Horror, Sci-Fi",December,"$19,800,000",,Yes,124,,,,,,,
Black Christmas,Bob Clark,1974,4,1.5,7.2,R,"Horror, Mystery, Thriller",December,"$620,000","$4,053,000",No,98,,,,,,,
Black Swan,Darren Aronofsky,2010,10,3,8,R,"Drama, Thriller",December,"$13,000,000","$329,398,046",No,108,,,,,,,
Blade,Stephen Norrington,1998,1,1,7.1,R,"Action, Horror, Sci-Fi",August,"$45,000,000","$131,183,530",No,120,,,,,,,
Blair Witch,Adam Wingard,2016,18,4,5,R,"Horror, Mystery, Thriller",September,"$5,000,000","$45,173,154",No,89,,,,,,,
Bone Tomahawk,S. Craig Zahler,2015,0,0,7.1,NR,"Drama, Horror, Western",February,"$1,800,000","$382,579",No,132,,,,,,,
Bram Stoker's Dracula,Francis Ford Coppola,1992,1,0.5,7.4,R,Horror,November,"$40,000,000","$215,862,692",No,128,,,,,,,
Bride of Chucky,Ronny Yu,1998,11,2,5.4,R,"Comedy, Horror",October,"$25,000,000","$50,688,658",No,89,,,,,,,
Cabin Fever,Eli Roth,2002,10,2.5,5.6,R,Horror,September,"$1,500,000","$30,553,394",No,88,,,,,,,
Cam,Daniel Goldhaber,2018,1,0.5,5.9,TV-MA,"Horror, Mystery, Thriller",November,"$1,000,000",,Yes,94,,,,,,,
Candyman,Bernard Rose,1992,16,4,6.6,R,"Horror, Thriller",October,"$6,000,000","$25,792,310",No,99,,,,,,,
Cape Fear,Martin Scorsese,1991,4,1.5,7.3,R,"Crime, Thriller",November,"$35,000,000","$182,291,969",No,128,,,,,,,
Cargo,"Ben Howling, Yolanda Ramke",2017,2,0.5,6.3,TV-MA,"Drama, Horror, Sci-Fi",May,,"$56,385",Yes,93,,,,,,,
Carrie,Brian De Palma,1976,1,0.5,7.4,R,Horror,November,"$1,800,000","$33,800,000",No,98,,,,,,,
Carrie,Kimberly Peirce,2013,4,1,5.9,R,"Drama, Horror",October,"$30,000,000","$84,790,678",No,100,,,,,,,
Case 39,Christian Alvart,2009,9,2,6.2,R,"Horror, Mystery, Thriller",October,"$26,000,000","$28,189,979",No,109,,,,,,,
Cat People,Jacques Tourneur,1942,2,1,7.4,NR,"Fantasy, Horror, Thriller",December,"$134,000","$8,000,000",No,73,,,,,,,
Cell,Tod Williams,2016,5,2,4.3,R,"Action, Drama, Horror",June,,"$1,323,012",No,98,,,,,,,
Chernobyl Diaries,Bradley Parker,2012,16,3.5,5,R,"Horror, Mystery, Thriller",May,"$1,000,000","$37,157,648",Yes,86,,,,,,,
Children of the Corn,Fritz Kiersch,1984,8,3,5.7,R,"Horror, Thriller",March,"$800,000","$14,568,989",No,88,,,,,,,
Child's Play,Tom Holland,1988,8,2.5,6.6,R,"Horror, Thriller",November,"$9,000,000","$44,196,684",No,87,,,,,,,
Child’s Play,Lars Klevberg,2019,6,3,5.9,R,Horror,June,"$10,000,000","$44,902,237",No,90,,,,,,,
Cloverfield,Matt Reeves,2008,7,2,7,PG-13,"Horror, Sci-Fi, Thriller",January,"$25,000,000","$170,764,026",No,85,,,,,,,
Clown,Jon Watts,2014,11,3,5.7,R,"Drama, Fantasy, Horror",June,"$1,500,000","$4,381,603",No,100,,,,,,,
Cooties,"Jonathan Milott, Cary Murnion",2014,15,3,5.7,R,"Action, Comedy, Horror",September,,"$485,544",No,88,,,,,,,
Creep,Patrick Brice,2014,10,3,6.3,R,"Horror, Thriller",June,,,Yes,78,,,,,,,
Creep 2,Patrick Brice,2017,6,2,6.4,NR,"Horror, Thriller",October,,,Yes,80,,,,,,,
Crimson Peak,Guillermo del Toro,2015,9,2.5,6.5,R,"Drama, Fantasy, Horror",October,"$55,000,000","$74,679,822",No,119,,,,,,,
Cube,Vincenzo Natali,1997,1,0.5,7.2,R,"Drama, Mystery, Sci-Fi",July,"$365,000","$565,727",No,90,,,,,,,
