,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,targetValue
0,26.725595,0.1412659,24.359055,26.660196,29.649887,5.2908325,384.09973,508.24286,46.179512,47.26151,0.2931461,1.2456613,0.045300283,0.086625025,0.5681305,0.5228302,7.527165,5.289281,6.1396084,5.392975,0.028051754,1.9916831,1.038872,0.75090104,5.397486,0.7466003,6.7889256,2.3993409,24.836336,0.30839255,437.179,0.37591347,1148.739,0.18417111,-137.512,-0.6475792,1440.0292,0.16402745,-141.63094,-0.5783084,2427.0642,0.094135344,-142.71008,-0.56249774,-15.928296,-0.476331,23.390512,0.36214942,0.032100827,1.2731979,-0.018515252,-0.6261241,-16.298891,25.040714,-0.013399471,-0.017325422,1.9047619,1.3040713,0.24536584,0.18073153,0.51425,1.1396049,1
1,25.262962,0.20700358,23.214577,25.123089,27.338364,4.123787,483.00836,816.4368,96.93909,145.44917,0.38762328,0.7402773,0.1451122,0.3279941,0.57719827,0.43208605,5.8650274,3.85059,4.786203,3.5512862,0.034775265,2.3303523,1.1453477,0.86659545,4.140653,1.0587434,2.8968375,5.063212,25.061714,0.5582326,441.65622,0.36813658,1102.3331,0.19315608,-76.957756,-1.1500868,1462.5208,0.1612979,-88.58013,-0.8898491,2444.8125,0.09824275,-89.25683,-0.8722282,-17.530436,-0.517783,24.342918,0.4088662,0.015071466,2.3681786,-0.021230998,-0.63658583,-5.9765534,12.328325,-0.011125467,-0.009468683,3.047619,2.480916,0.25217947,0.20594776,0.13355263,0.23980641,1
2,25.031317,0.18828885,23.097178,24.673878,26.626678,3.529501,470.76166,747.2745,74.679344,111.53612,0.32880053,0.76413417,0.09429032,0.28495246,0.5056051,0.4113148,5.286532,3.435051,4.013367,2.713096,0.029330667,1.9074286,1.1658287,0.8769958,4.18399,0.9909448,2.847817,6.1836677,27.043224,0.54919845,449.63043,0.38653958,1120.6318,0.19037859,-91.82608,-0.99841106,1448.2139,0.18979816,-102.06365,-0.805229,2492.7883,0.10726419,-104.12526,-0.76743996,-18.373646,-0.51384914,25.523888,0.39366502,0.012371908,2.7844348,-0.023123965,-0.67193335,-8.809949,15.881686,-0.011383903,-0.01183266,3.047619,2.2582698,0.2425352,0.1856296,0.17315069,0.24059787,1
3,24.820858,0.19279565,22.523014,24.346283,26.893549,4.370535,340.03217,420.03793,70.1737,70.23804,0.2946283,0.8550466,0.07621541,0.23818517,0.46031588,0.38410047,4.9450903,3.0195198,3.7915833,2.5646796,0.030497814,2.1499238,1.1477362,0.8665384,4.467365,0.887791,2.8847985,4.607181,27.965738,0.39748576,442.94998,0.35758865,1161.9652,0.18747859,-94.696236,-0.9728891,1437.3474,0.18328804,-105.41427,-0.77977604,2481.0403,0.09798851,-106.66531,-0.7554628,-20.598307,-0.44648844,27.159082,0.36202726,0.012424854,2.7049088,-0.023785371,-0.57023925,-11.538335,19.071331,-0.015491189,-0.014351845,3.047619,2.0999048,0.255,0.22090892,0.19382353,0.3505669,1
4,24.96187,0.15028705,22.891483,24.88648,26.944284,4.052801,366.4477,408.8616,79.37416,110.23552,0.23435432,0.89852107,0.05060107,0.17698546,0.3922523,0.34165123,4.1802754,2.5063994,3.099909,1.8692911,0.03013614,2.4007406,1.1504754,0.87172383,4.761799,0.84158397,3.5396545,3.3516717,29.421814,0.3302004,431.0374,0.3379794,1162.5336,0.17799655,-111.379135,-0.8343952,1422.3107,0.17307848,-119.499855,-0.6975684,2487.1814,0.09377929,-121.8295,-0.66272414,-20.500126,-0.41152412,28.320862,0.30583394,0.013685356,2.5526452,-0.02184413,-0.6427082,-13.934455,22.351864,-0.0133128455,-0.016072493,3.047619,1.8759937,0.24067797,0.19721678,0.27101693,0.44632846,1
5,30.485437,0.39969474,22.96304,26.03055,48.39108,25.42804,283.58246,202.20483,92.66319,120.55186,0.11142957,1.286627,0.04328818,0.0601509,0.12549452,0.082206346,4.207684,3.0610352,3.1485658,2.6019266,0.03971089,1.1547979,1.5567373,0.5888109,5.092773,1.1579741,1.5828142,10.623675,10.952267,1.4051574,447.7202,0.33759245,1144.3467,0.19075714,-170.2988,-0.39907703,1488.706,0.13281147,-164.21558,-0.4200044,2489.8691,0.0882452,-164.57634,-0.41447768,-17.18219,-0.43920887,25.90677,0.29387036,0.027064536,1.6857244,-0.01978908,-0.48082337,-19.206074,29.93294,-0.034623154,-0.015640082,0.7352941,1.1056511,0.17703703,0.14287561,0.67964286,1.6684369,1
6,23.409754,0.1578364,21.110493,23.46578,25.845026,4.7345333,322.563,577.62854,101.45355,153.1989,0.30559158,0.8011864,0.08502059,0.23876727,0.4847383,0.3997177,5.4130397,3.164413,5.181266,4.031444,0.052186742,1.8165752,1.5250385,0.76965296,2.8164666,1.2386748,4.678366,2.056857,21.311533,0.41241014,451.06943,0.32609713,1174.9198,0.19303034,-96.15999,-0.9565515,1481.0671,0.14714657,-102.881805,-0.82613206,2457.688,0.09792167,-103.84617,-0.80893093,-15.070141,-0.47725505,22.86777,0.332635,0.009645969,3.5172832,-0.019938502,-0.6202439,-10.4461775,19.311615,-0.019158559,-0.011236188,3.635621,2.2922635,0.23107143,0.25096723,0.20235294,0.26757875,1
7,22.52435,0.19477934,20.51521,22.47556,24.290253,3.7750435,386.7877,389.18533,190.80508,631.4261,0.30908942,0.6827723,0.11023704,0.27791977,0.46526492,0.35502788,5.930961,3.3220804,5.0313993,2.761186,0.058614947,1.7453259,1.7309554,0.7098501,2.071625,1.6538298,4.4595423,2.8336713,21.258343,0.6614356,492.47314,0.37462646,1158.4441,0.24291134,-85.85969,-0.9988781,1539.8868,0.16764559,-92.88758,-0.8549099,2519.729,0.10938827,-93.939476,-0.8351951,-15.513647,-0.5753526,23.444578,0.37556535,-0.006336631,-4.7492995,-0.01953369,-0.7120728,-9.766165,18.279308,-0.02643279,-0.010015699,4.5343137,3.4807534,0.1682353,0.11451355,0.11718309,0.1892549,1
8,22.4574,0.14074633,20.66666,22.919146,24.585247,3.9185867,332.16898,300.17627,67.162125,65.78436,0.29800406,0.77433735,0.08073099,0.25461322,0.47111106,0.39038008,5.571764,3.255375,4.6960034,3.2194736,0.056539603,1.7200924,1.6811604,0.77782947,2.1108696,1.8072046,6.4470544,1.7958984,24.253809,0.49252406,504.89053,0.3353294,1225.9313,0.20543134,-92.50606,-0.9600218,1534.8816,0.16542535,-99.57818,-0.82854503,2518.9546,0.12748557,-101.26376,-0.80021757,-17.381788,-0.51214576,24.608202,0.36772653,-0.0019009402,-17.049635,-0.021413444,-0.66520447,-11.897341,20.753855,-0.02933084,-0.0106631275,3.7173204,2.6628432,0.20830768,0.16642456,0.16413793,0.2838773,1
9,23.20243,0.19974513,21.380856,23.438675,24.678795,3.2979393,558.3013,935.24176,62.772816,58.749157,0.33940196,0.7658872,0.08120012,0.29379895,0.5485554,0.46735525,6.038381,3.1168125,5.333944,2.8215759,0.043115065,1.6408415,1.4678509,0.79447347,3.0418544,1.1953869,5.61005,2.3250637,24.332956,0.50148094,509.20706,0.3533208,1229.5831,0.20733427,-82.89202,-1.0648667,1538.4316,0.1681247,-91.06183,-0.89213806,2527.5193,0.12578681,-92.86485,-0.85700244,-17.301275,-0.5397547,24.37231,0.37358466,0.004648713,7.1639624,-0.020937305,-0.7847048,-11.730124,20.919977,-0.02935732,-0.009429729,3.880719,2.4979525,0.24049181,0.22426878,0.15943396,0.26665232,1
10,29.929409,0.2610582,24.837423,28.641502,31.206795,6.3693714,269.0319,294.59634,108.87891,98.10342,0.16532911,1.6426476,0.043785393,0.054793175,0.13270527,0.08891988,6.6865983,3.8647385,5.631472,4.280945,0.045338478,1.8144065,1.3066865,0.82886225,5.92368,0.70610005,2.6008563,3.6100976,25.561062,0.4742928,412.1296,0.35715932,1105.4635,0.2038813,-167.39876,-0.43494374,1414.2733,0.15558551,-165.58998,-0.4226294,2522.4202,0.10417187,-167.38474,-0.39622232,-17.266169,-0.4412862,25.319376,0.33488536,0.052687705,0.7002849,-0.022604685,-0.6029976,-17.277094,26.544022,-0.0073973523,-0.015666803,0.8107352,0.7840941,0.23785715,0.27516696,1.0132142,1.89271,1
