,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,targetValue
0,25.912203,0.18861525,22.654547,27.14495,29.595985,6.9414387,349.2939,382.7083,75.67329,86.331726,0.19256479,1.4559785,0.050331328,0.06534884,0.26049912,0.2101678,6.544055,4.1761665,6.055259,5.1506643,0.03863191,1.9277598,1.0882583,0.9672342,5.325176,0.9011454,4.635668,4.242933,28.127369,0.5042965,426.4785,0.2876013,1218.1836,0.17914173,-163.05878,-0.46344867,1454.2512,0.15861213,-165.2008,-0.41924322,2475.4912,0.096178204,-166.13509,-0.4055791,-21.278425,-0.37440476,29.357035,0.28411752,0.025697988,1.6121885,-0.024058416,-0.57841474,-15.740032,25.490057,-0.0042958423,-0.01737131,1.1885896,0.6878307,0.28884614,0.36730126,1.145,2.2520916,1
1,25.37321,0.15318364,23.574797,25.715029,27.980783,4.405987,447.05768,786.33826,62.941647,55.12801,0.45646903,0.7811061,0.09627801,0.39474216,0.7288591,0.6325811,8.627262,5.2236357,6.5304117,5.159176,0.03538294,2.7639856,1.1245867,0.9014797,5.1568475,0.83163977,5.143014,3.1122923,27.28378,0.3856904,433.20193,0.2902055,1208.1082,0.19190535,-86.21964,-1.06677,1455.8347,0.13797618,-95.47608,-0.87564653,2478.5837,0.081508175,-98.35679,-0.82347,-18.618431,-0.4207416,27.44177,0.3005409,0.020654293,1.6538712,-0.020789832,-0.55639356,-9.989983,18.464573,-0.006732116,-0.01241932,3.2488112,1.8783069,0.30830985,0.30646548,0.2138806,0.34187782,1
2,24.583416,0.15467142,23.39088,25.088129,26.516388,3.1255074,319.8075,349.02017,55.634827,68.55913,0.43554184,0.71016043,0.13804527,0.38549623,0.68736476,0.5493195,6.9817743,4.056406,5.8747363,4.6629004,0.030016946,2.2722278,1.0988625,0.92613536,4.6255054,0.99699396,4.254231,2.8500204,27.908024,0.4245689,439.41953,0.31968695,1197.5289,0.17772415,-73.302216,-1.1930679,1453.0422,0.14892203,-83.29007,-0.9580105,2488.2668,0.088169485,-87.26879,-0.8794897,-18.855017,-0.43225825,28.144566,0.30073854,0.013247466,2.496696,-0.020584455,-0.64509064,-9.238962,17.51991,-0.008694071,-0.010629936,3.3808768,2.2751324,0.28372094,0.2782631,0.14308642,0.23842923,1
3,24.612732,0.17010354,22.943058,24.80808,27.089146,4.1460876,260.55844,248.65074,69.283516,91.051216,0.30164704,1.0475056,0.06914911,0.16666514,0.48955062,0.4204015,6.785365,4.9728494,5.148369,6.111161,0.030362204,2.093498,1.1558783,0.9414467,4.04704,1.1837,5.7816625,2.4405098,26.807907,0.42553163,431.3066,0.29088333,1196.8915,0.17046608,-123.67262,-0.7391312,1437.2657,0.12674746,-128.81175,-0.6541585,2453.8066,0.076607965,-131.16266,-0.6201911,-17.712011,-0.45289063,27.234905,0.3209958,0.010025682,3.506445,-0.017974889,-0.62489164,-11.570705,21.009312,-0.0021847798,-0.013984915,2.1658742,1.8528322,0.20971428,0.16589989,0.3323077,0.70574296,1
4,25.04358,0.17953143,22.867134,24.837809,27.478071,4.610937,272.91116,334.6076,113.344574,222.36824,0.34870842,1.0478266,0.06994433,0.24166694,0.5571815,0.48723716,7.692463,6.683693,6.306864,7.2995944,0.03907405,2.2967014,1.0954039,0.89858496,4.534173,0.9375438,3.156118,4.3943634,24.720324,0.512194,437.95172,0.32376924,1198.6182,0.16820717,-107.97593,-0.8666318,1458.4972,0.14999548,-114.443726,-0.749152,2480.004,0.08483613,-116.83109,-0.7114041,-17.674932,-0.43912098,26.529455,0.31672728,0.014452433,2.4534712,-0.020461803,-0.6978558,-11.669788,20.436728,-0.006566325,-0.014219177,1.6111991,1.8778102,0.24873239,0.22608069,0.26971012,0.429094,1
5,24.85968,0.21752098,22.292295,24.774557,27.205433,4.9131374,232.64429,198.23926,82.108284,67.84154,0.1945383,1.2539778,0.06492702,0.10622734,0.22515534,0.16022831,7.3633432,5.4775705,5.5133357,3.723279,0.03945719,1.6352315,1.4443623,0.78246945,2.7201807,1.3097783,0.07804234,219.84914,13.238581,1.0610093,471.08145,0.32906494,1176.931,0.1754916,-141.13104,-0.6143116,1452.3492,0.15613376,-143.01802,-0.5774539,2468.2627,0.10019386,-144.44168,-0.5568975,-13.265348,-0.49351597,21.425392,0.3300486,0.010911265,2.8560376,-0.021576572,-0.57726234,-12.949987,21.435297,-0.015264974,-0.013449866,1.0899183,1.9112629,0.15035714,0.15023749,0.35654545,0.41022483,1
6,23.33663,0.19855136,21.413277,23.274029,24.799767,3.3864899,315.90802,405.98642,73.041336,75.720406,0.23847693,0.98244286,0.06901392,0.14368944,0.3830044,0.31399047,5.588001,3.5697176,4.6503034,3.0114317,0.040373433,1.7175142,1.3914258,0.782787,2.9234738,1.1998332,3.1004157,4.600717,17.932146,0.77305835,471.23398,0.34167778,1219.628,0.19576782,-110.019356,-0.8426607,1467.8862,0.17153,-114.6246,-0.7575936,2455.9854,0.109687425,-115.377945,-0.7430605,-15.176047,-0.5321069,21.981583,0.40642124,-0.003169781,-10.55602,-0.018889114,-0.7087933,-14.468427,23.774351,-0.03023215,-0.013606453,2.4182563,2.1494372,0.2115873,0.18440989,0.2457627,0.38934192,1
7,23.040308,0.15902834,21.25946,23.43249,25.045353,3.7858925,436.6152,671.22675,127.427536,241.60826,0.2849691,0.8302089,0.07985654,0.21038508,0.46819988,0.38834333,5.887748,3.9476225,5.0160174,3.1958385,0.045885757,1.9401746,1.4381297,0.81712973,2.6076086,1.4702002,4.3523655,3.3469756,20.685616,0.58301497,490.11615,0.3782637,1190.0707,0.19874771,-93.918,-0.97111034,1537.5793,0.175378,-100.98477,-0.83464277,2513.9941,0.11972647,-101.79881,-0.8198866,-16.14862,-0.49378192,22.138132,0.37289706,0.00452841,7.0772185,-0.021506585,-0.665528,-13.242662,21.26776,-0.026148552,-0.010779927,3.303815,2.4564996,0.2186111,0.17601535,0.16708334,0.25032997,1
8,25.195704,0.18687315,22.874949,25.173132,27.37328,4.498331,377.06616,311.2571,86.67087,76.856125,0.30236402,1.0815874,0.068480305,0.17440897,0.47376642,0.4052861,6.5878754,5.503888,4.767826,3.0909376,0.054308318,2.0841835,1.3610302,0.8391852,3.14988,1.2308798,1.0761856,9.933572,16.295925,0.648151,491.4008,0.37229386,1188.8412,0.17804919,-106.17686,-0.8836657,1508.3263,0.18534152,-110.52426,-0.79636383,2497.7603,0.10932725,-111.2879,-0.78028435,-13.625909,-0.5294978,20.703053,0.38002825,0.019434143,1.8449725,-0.02305435,-0.5840047,-12.43164,20.420696,-0.015615524,-0.014816318,1.8051772,2.4564996,0.19083333,0.16224766,0.20376812,0.26207697,1
9,23.29706,0.18314002,21.259253,23.26506,24.700478,3.441225,257.67557,222.04962,68.733635,84.69341,0.24768391,1.0237101,0.051834866,0.14129063,0.4117868,0.3599519,7.041028,4.922604,5.0736694,3.4358287,0.05356429,1.8825454,1.5002043,0.7277531,2.3866587,1.621676,4.9381604,2.3238142,19.465216,0.56492805,491.04306,0.3736245,1176.2373,0.19202018,-117.05238,-0.7834857,1545.3198,0.17393619,-121.53843,-0.7026587,2499.8484,0.10548276,-121.58581,-0.70149785,-16.174946,-0.5106685,21.962044,0.38147786,0.0039617065,9.14971,-0.023774868,-0.6872299,-16.405148,25.97077,-0.025892805,-0.0136994505,2.4182563,1.8442624,0.23351853,0.22333463,0.344,0.66104096,1
