,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,targetValue
0,25.202938,0.18574543,23.042215,24.956558,27.448084,4.4058685,465.60516,764.28516,87.32093,159.25786,0.3082405,0.9162594,0.06188699,0.23957631,0.4979161,0.4360291,5.4996123,3.8583732,4.228532,3.5600545,0.029604802,2.0197356,1.1312948,0.8377872,4.4459057,0.9495023,2.9726272,5.189265,26.463459,0.5451345,442.87668,0.36728814,1136.2532,0.19047661,-102.05185,-0.9119376,1444.5292,0.17663072,-111.02705,-0.75214714,2469.492,0.10017129,-112.48335,-0.7267866,-18.691114,-0.48551047,25.828075,0.3769008,0.015322333,2.3531654,-0.021911753,-0.6351196,-12.127669,19.90936,-0.013324048,-0.0144342985,2.3549576,2.0890217,0.23890577,0.2006161,0.223065,0.51357627,1
1,23.460554,0.23380406,20.938242,23.235596,25.030075,4.091833,383.85837,527.2783,83.79523,90.02563,0.27295053,0.86380374,0.06357975,0.20595916,0.44993186,0.38635212,5.606764,3.169118,5.048487,3.299711,0.046596367,1.5694122,1.585197,0.75241673,2.6369863,1.5289075,5.072047,2.5198026,21.920086,0.5836277,486.63937,0.36021188,1190.2904,0.20988804,-104.19653,-0.87546414,1523.0549,0.16185202,-109.56948,-0.7700673,2511.4724,0.11504481,-110.77171,-0.7498672,-16.43564,-0.52402663,24.04252,0.35909626,0.0036469602,9.658686,-0.02046129,-0.6933485,-13.629917,23.103365,-0.028436547,-0.012036859,3.257941,2.2792256,0.21845879,0.19204089,0.21171102,0.6157864,1
2,25.539173,0.19864899,23.620522,25.296442,27.135647,3.5151253,334.8015,417.28268,92.66573,222.3789,0.32298467,0.900667,0.058553547,0.2346838,0.5737382,0.51518464,5.4332967,2.8888617,4.8443437,2.8443928,0.03477504,2.2077117,1.2331058,0.86663866,4.5622983,0.9096003,3.0274532,3.1947563,28.905882,0.40037552,446.39572,0.39440054,1115.8451,0.22511698,-102.80661,-0.92686635,1474.5765,0.17529874,-110.06495,-0.7849559,2554.3057,0.12188676,-113.28891,-0.7332192,-17.671862,-0.5020461,25.33898,0.3864979,0.037669506,0.8526921,-0.02223812,-0.6067491,-12.487279,20.836315,-0.004928906,-0.0127470195,2.7220392,1.6717921,0.29668894,0.23203492,0.30082732,0.78267413,1
3,27.162945,0.14318536,25.28439,26.936367,28.844145,3.5597553,217.73027,369.5462,78.528786,183.49486,0.18167712,0.86087126,0.040902082,0.13460968,0.3005215,0.2596194,3.3908148,1.9503856,2.5221019,1.5021136,0.029015122,1.6932054,1.2778906,0.79457617,5.1396055,0.7440144,7.252577,1.3504977,30.767235,0.33427447,481.90396,0.36903057,1264.1058,0.16822022,-109.26781,-0.8380058,1514.4946,0.20590556,-115.41663,-0.72095525,2696.1082,0.0958013,-118.222206,-0.67805445,-20.070536,-0.4314582,28.090937,0.3790951,0.021624845,1.9142376,-0.023903754,-0.6585436,-14.568596,24.510372,-0.0283165,-0.008688541,2.7362006,1.8226167,0.2636803,0.17355518,0.2826295,0.7755698,1
4,24.77272,0.24430747,16.746746,27.973015,29.649384,12.9026375,306.28677,400.4733,161.61281,201.68842,0.17393844,0.8698969,0.05815139,0.116728514,0.27452964,0.21637824,3.6728742,2.9086044,2.7443752,2.5221217,0.062289976,1.8710654,1.5944307,0.8294328,3.0695763,2.4160404,5.302441,4.565098,30.776375,0.6905713,637.04224,0.47145897,1312.8467,0.17838033,-145.93097,-0.54648286,1720.6521,0.1841313,-149.40932,-0.4929717,2841.791,0.113595486,-152.24184,-0.45573586,-29.25607,-0.27739388,41.950558,0.22981745,-0.075433336,-0.5960803,-0.016647685,-0.62520796,-27.2915,39.02738,-0.08628026,-0.006331338,1.8103911,2.3687031,0.120588236,0.12203077,0.2935071,0.9047673,1
5,34.969322,0.11968347,32.33039,34.738274,37.421684,5.0912933,313.03436,516.08276,56.00018,82.856026,0.2826404,1.0177963,0.049750254,0.18180363,0.47200868,0.42225844,6.256923,3.5913808,5.3403845,4.0254292,0.023001961,1.770176,1.0691395,0.92694163,8.669916,0.4819754,9.730905,1.218195,23.76782,0.5396585,553.97375,0.33928457,1225.1902,0.19750552,-122.370804,-0.7273438,1659.2083,0.16253759,-120.181885,-0.6844651,2739.7695,0.09081853,-121.69193,-0.6614315,-19.185354,-0.52776295,28.406603,0.39209312,0.04885236,0.8210469,-0.021432407,-0.65301514,-13.486361,23.676294,-0.021409685,-0.0052201003,2.367713,1.937915,0.23469135,0.18257815,0.27203226,0.5591167,1
6,31.364952,0.17346948,28.918495,32.473824,35.16476,6.2462654,300.3063,400.49387,92.85642,108.03594,0.21003129,0.92514783,0.04729382,0.13770953,0.3612468,0.31395298,3.3622324,2.1051018,2.762667,1.9095854,0.03874008,2.2680802,1.0834779,0.83644766,6.842006,0.739388,7.223022,2.0971742,29.276674,0.46626127,560.0468,0.35939476,1256.7129,0.17750818,-112.85953,-0.8214572,1651.2842,0.21464153,-115.79804,-0.7282895,2726.829,0.11886789,-117.80718,-0.69810706,-21.856773,-0.44262362,29.999134,0.38614005,0.040812295,0.9980955,-0.03130907,-0.49784026,-17.609755,27.129177,-0.028812135,-0.013213341,2.2577698,1.6095108,0.2940341,0.24382879,0.30299434,0.4079251,1
7,25.669615,0.16213398,24.463345,26.707382,28.575882,4.1125374,341.86713,417.77863,92.16789,163.93893,0.10598561,0.89492995,0.03784051,0.058818262,0.17191255,0.13407204,1.6333252,1.5116768,1.2724063,1.0554156,0.046659492,2.2624145,1.1061882,0.90791,5.833763,0.7335848,4.273628,3.4149756,28.484964,0.41978574,508.78564,0.33948115,1289.6564,0.17087844,-139.47711,-0.6093004,1629.2483,0.1729039,-145.27634,-0.5220171,2609.7249,0.13251765,-145.56342,-0.51827633,-26.051256,-0.25318712,32.882595,0.24404731,0.006433199,5.5850663,-0.025410956,-0.44877067,-18.654556,28.381107,-0.038316995,-0.009877131,1.3764144,1.0854342,0.30139786,0.24333078,0.5917021,0.8618765,1
8,26.323078,0.17273861,24.834383,26.288202,28.364346,3.5299625,430.7837,545.0533,102.559364,195.88057,0.40571672,1.0880902,0.05499181,0.17664741,0.76636636,0.7113745,8.993143,5.3394175,7.8912063,5.0800614,0.038539458,2.3430176,1.3533237,0.8892532,5.186446,0.7659034,4.959643,2.8788798,23.793093,0.50712353,513.6936,0.42524403,1209.2556,0.20015216,-119.92073,-0.7575585,1504.8636,0.18911213,-123.493706,-0.6856888,2507.2224,0.11707248,-125.31757,-0.65770537,-17.220678,-0.5044107,25.382126,0.37095436,0.014172486,2.809513,-0.013504435,-1.0772923,-12.947623,22.959328,-0.03658261,-0.0029833762,2.2683775,1.6878237,0.24987394,0.2081218,0.33253276,0.7166112,1
9,25.92599,0.1627202,24.90217,25.923117,27.554525,2.6523552,458.4061,579.6568,81.018135,154.96277,0.2504848,0.7918909,0.07481153,0.19898984,0.39820558,0.32339406,5.03372,3.348912,3.6540747,2.3162837,0.037051577,2.3857374,1.2130598,0.87186503,5.084208,0.756232,0.5772547,24.598877,22.660578,0.5687081,497.09418,0.3661271,1204.284,0.21453573,-98.40391,-0.9219375,1534.9098,0.17934929,-106.38881,-0.768971,2548.386,0.115709506,-107.85761,-0.7453541,-20.74292,-0.44259083,28.42062,0.36634007,0.014981143,2.485759,-0.026743269,-0.5233685,-11.642806,20.549322,-0.034708306,-0.00794277,2.712796,2.114761,0.25086665,0.18153764,0.20937282,0.40987414,1
