,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,targetValue
0,24.941166,0.16907814,23.08824,25.179256,27.419968,4.331728,342.45667,375.70474,70.889824,116.699265,0.3471682,0.98146975,0.06652787,0.23568298,0.5942796,0.5277517,7.403106,5.1883893,5.938943,5.810021,0.03461599,2.4227717,1.1358031,0.91163826,4.6311793,0.9946829,4.7117977,3.1253476,26.907007,0.43895668,435.43146,0.30969873,1200.3002,0.18279931,-110.39799,-0.84839547,1452.7064,0.14552613,-117.01804,-0.7326522,2474.658,0.08483466,-119.538376,-0.6938591,-18.550577,-0.4350536,27.56871,0.30917826,0.015234835,2.316498,-0.020479472,-0.63538224,-12.398916,21.48425,-0.0056227227,-0.014459351,1.8007077,1.6796958,0.27301887,0.27233616,0.31393442,0.82845074,1
1,23.866987,0.19286418,21.66304,23.753845,25.81696,4.153919,320.3692,422.58945,89.64944,126.83715,0.25415006,1.0386264,0.06556951,0.14420575,0.407924,0.34235448,6.931005,4.9511957,4.8688073,3.3399043,0.044222623,1.7945653,1.4086349,0.7715881,2.7586937,1.3641863,2.8731675,4.7634034,17.778044,0.71370435,481.6511,0.359705,1191.8906,0.18725972,-113.65349,-0.81354964,1502.9838,0.17528068,-118.1002,-0.73245645,2487.373,0.11127799,-118.84532,-0.7191968,-14.9955845,-0.51936626,21.662659,0.37980822,0.0070320596,4.9577713,-0.021698933,-0.6539105,-13.929163,22.600695,-0.022438029,-0.013361785,1.7906994,2.1933112,0.1984472,0.17955106,0.24950658,0.40319213,1
2,25.125814,0.17462441,23.75461,25.447317,27.118347,3.363737,277.83493,492.9227,98.067215,138.66365,0.25842595,1.2142843,0.05054656,0.08546022,0.51066166,0.4601151,6.485511,3.9242501,5.4805493,3.3709886,0.04002741,2.3325713,1.2599297,0.8664891,4.5086217,0.95380145,1.8716357,8.431255,26.74617,0.6021844,443.7986,0.368297,1166.0913,0.20753704,-135.21382,-0.66914666,1461.281,0.15579602,-139.36703,-0.5992965,2537.5625,0.1248399,-142.00954,-0.56202066,-17.8831,-0.46881613,26.829779,0.3369974,0.037292507,0.9091844,-0.020496206,-0.5863899,-14.994716,24.624203,-0.0014567288,-0.015481216,1.5431378,1.0292398,0.3210606,0.3109766,0.622406,1.4615324,1
3,26.992826,0.11712403,25.425995,26.997032,28.415401,2.9894066,287.93945,357.19693,79.76227,247.33707,0.19730523,0.99791795,0.043130618,0.11537399,0.338583,0.2954524,4.1394887,2.6764505,3.0500581,2.1750946,0.028084906,2.2896423,1.0300106,1.0625701,6.1047487,0.58468753,3.7325623,2.88619,30.656511,0.3992001,449.9306,0.33848533,1257.2406,0.15753569,-120.917725,-0.7572181,1441.467,0.18704501,-125.325096,-0.677965,2590.5227,0.0937688,-129.94704,-0.61189634,-20.067543,-0.47798917,31.887764,0.32457373,0.026635777,1.5219151,-0.017015712,-0.8946612,-12.948091,24.025393,-0.013693502,-0.0058193393,2.0644176,1.6492974,0.24942027,0.21022336,0.33961874,0.6859385,1
4,23.669725,0.2968234,15.614708,27.426607,29.722683,14.107975,352.56516,475.8808,192.10887,351.59647,0.14628552,1.002403,0.059555124,0.10374151,0.21268389,0.15312876,4.199367,7.228974,2.7654297,6.2262383,0.06588974,1.8405236,1.7558213,0.85348463,1.6010205,4.913365,6.363186,5.613474,23.932606,1.233173,651.31476,0.46690035,1278.7844,0.18507989,-146.0368,-0.53568506,1746.3873,0.17442288,-148.5655,-0.49092776,2820.422,0.12940943,-150.73407,-0.46315327,-28.227812,-0.2808132,39.27866,0.25733933,-0.07457663,-0.700338,-0.014155901,-0.8320421,-28.83202,40.54342,-0.1029424,-0.004919241,0.40112314,2.9994483,0.09476588,0.110272676,0.22793344,0.44185996,1
5,34.596813,0.13682184,32.276432,34.249683,37.023495,4.7470627,435.29077,677.18665,132.78427,259.88336,0.26278654,1.1198151,0.05454831,0.13344276,0.44397402,0.3894257,6.5404,4.6732473,5.12085,3.9512994,0.024097824,2.1446955,0.9666665,0.9487018,8.548614,0.51722366,7.4801593,1.6281439,22.555841,0.5649542,557.00006,0.3454839,1222.0018,0.2069241,-129.37009,-0.6929068,1635.032,0.15662807,-128.08131,-0.65766287,2722.8508,0.091525316,-129.91652,-0.62952644,-17.178175,-0.5895623,26.706211,0.40609932,0.05173601,0.7446136,-0.020135202,-0.70452046,-11.736759,22.132206,-0.005524063,-0.0061796014,1.6094009,1.667412,0.2378544,0.23882535,0.35358566,0.63272935,1
6,30.491093,0.24187106,25.246567,31.84885,36.131405,10.884838,295.46487,386.31778,139.67992,236.87067,0.14769976,1.4662997,0.04007508,0.054683566,0.205276,0.16520092,4.90115,4.0008554,4.9956727,4.5884566,0.052259553,2.0188909,1.2458798,0.7602314,5.2776303,1.1197271,5.9651694,3.4126208,23.315163,0.6399941,504.0919,0.38378194,1219.2181,0.18848535,-160.67679,-0.4841535,1593.4728,0.17517653,-158.89302,-0.46715444,2610.3364,0.114940174,-159.69673,-0.45566067,-17.766384,-0.42207476,26.112076,0.36415198,0.047557876,1.0628864,-0.026896948,-0.50796384,-17.112312,28.541277,-0.024748988,-0.012914597,0.71275836,0.9659643,0.23067114,0.27986735,0.7801342,2.2729821,1
7,26.465872,0.18982117,24.540203,25.993961,28.449368,3.9091644,421.21527,549.9268,136.52003,346.36282,0.20465463,1.4543334,0.05427911,0.07751491,0.25067335,0.19639423,7.709648,5.5134563,6.7118287,4.630749,0.04252676,2.5371542,1.1903533,0.9112935,5.1521606,0.8216156,4.2658277,3.754817,22.884686,0.6359144,519.61255,0.4199586,1234.3673,0.20196153,-161.2501,-0.46391308,1511.3337,0.18858859,-162.2863,-0.43770358,2514.6357,0.1266397,-163.46901,-0.4201199,-17.651192,-0.46171957,26.702728,0.3179489,0.01070814,3.7697825,-0.014788226,-0.9062742,-14.270727,24.19352,-0.027985884,-0.007996177,0.93407094,1.0253153,0.20017698,0.21317647,0.7257264,1.2074231,1
8,25.732147,0.16625601,24.928596,26.225441,28.020414,3.0918179,464.8702,470.2622,79.24278,106.57039,0.19040836,1.0003965,0.053480215,0.101461165,0.3279241,0.2744439,5.1021748,3.2717512,3.8070164,2.3858984,0.03931713,2.2792108,1.2053468,0.8560099,4.8930326,0.81579655,0.37235028,43.622726,22.233038,0.5892273,492.0803,0.358792,1208.153,0.21067499,-135.12099,-0.6475136,1523.7805,0.1744612,-139.62387,-0.57454073,2567.9243,0.11286625,-141.34784,-0.5509371,-20.207857,-0.4473807,29.027811,0.34503666,0.008698555,4.5527787,-0.026078185,-0.5118737,-13.911164,24.552803,-0.031922247,-0.010402258,2.0993052,1.5338303,0.21915887,0.17919146,0.40981308,0.71243024,1
9,20.681316,0.16621141,17.796522,21.02062,23.278152,5.4816303,148.22237,284.0997,97.30601,156.55754,0.37904784,1.0119802,0.059458442,0.17470269,0.71641773,0.6569593,6.8648267,4.316214,6.3742228,4.2299223,0.047984917,1.5213892,1.2546673,0.9530241,2.2564335,1.758761,3.2321699,3.1685472,25.543236,0.45601708,465.82352,0.38157752,1203.4585,0.17333238,-110.19081,-0.8614719,1492.3499,0.16552964,-117.03914,-0.7447063,2457.9797,0.11711451,-118.5072,-0.7220257,-18.63156,-0.35536978,25.31959,0.26914278,0.0042575314,8.006852,-0.021023868,-0.594827,-14.728078,23.647884,-0.016308233,-0.010570952,2.0314586,1.347036,0.3339655,0.35901654,0.38467532,0.65475404,1
